id,category,question,context,answer,doc_len
0,Regulamento,Quais são as causas para perder o vínculo com o curso de Ciência da Computação na UFCG?,,"São elas: não efetuar matrícula em disciplinas no período de ingresso na UFCG; ser reprovado por faltas em todas as disciplinas no período; ser reprovado três vezes em uma mesma disciplina; no período de vencimento do prazo máximo fixado para integralização curricular, não requerer prorrogação de prazo para conclusão do curso; deixar de se matricular em qualquer período letivo, caracterizando o abandono de curso; descumprir o termo de compromisso da prorrogação de prazo; haver decisão judicial; descumprir o protocolo do Programa de Estudantes Convênio-Graduação - PEC-G; descumprir termo de compromisso dos programas acadêmicos específicos; solicitar sua desvinculação em qualquer momento do curso; sofrer sanção disciplinar, nos termos do Regimento Geral.",17
1,Regulamento,Quando o desvínculo acontece?,,O desvínculo acontece após o último dia de implantação das notas no Sistema de Controle Acadêmico.,4
2,Regulamento,O que é o procedimento de desvinculação?,,O procedimento de desvinculação é o processo de dissolução do vínculo entre o discente e o curso de Ciência da Computação na UFCG.,7
3,Regulamento,Quanto tempo o discente tem para requerer o recurso?,,O discente tem 10 dias úteis a contar da ciência do interessado para requerer o recurso.,9
4,Regulamento,Onde o recurso deve ser encaminhado?,,O recurso deve ser encaminhado ao Coordenador de curso.,6
5,Regulamento,Quais documentos devem acompanhar o recurso?,,"Os documentos que devem acompanhar o recurso são: Requerimento, Justificativa do pedido e Documentação comprobatória, caso necessário.",6
6,Regulamento,Quem pode requerer o recurso?,,O recurso pode ser requerido pelo discente ou seu procurador legalmente constituído.,5
7,Regulamento,O que é necessário para o recurso ser aceito?,,"Para o recurso ser aceito é necessário que seja encaminhado no prazo de 10 dias úteis a contar da ciência do interessado e acompanhado dos documentos: Requerimento, Justificativa do pedido e Documentação comprobatória, caso necessário.",9
8,Regulamento,Qual é a função da Comissão Administrativa de Reativação de Vínculo?,,A Comissão Administrativa tem a função de analisar a situação acadêmica do discente.,11
9,Regulamento,Quais são os itens considerados na análise da Comissão Administrativa de Reativação de Vínculo?,,"Os itens considerados na análise da Comissão Administrativa são: forma de ingresso no curso, tempo em que permaneceu ativo, coeficiente de rendimento acadêmico, registro de duas (ou mais) reprovações em outras disciplinas, efetivação de trancamentos de período letivo, resumo dos elementos aduzidos pelo requerente, posicionamento claro e inequívoco acerca da reativação ou não, exposição de motivos da decisão, fundamentado na legislação vigente e nas provas dos autos, garantindo a impessoalidade dos atos administrativos e prazo da solicitação.",14
10,Regulamento,Quem deve apreciar o parecer da Comissão Administrativa?,,O parecer da Comissão Administrativa deve ser apreciado pelo Colegiado de Curso.,8
11,Regulamento,Quais são os elementos considerados no posicionamento sobre a reativação ou não?,,"Os elementos considerados no posicionamento sobre a reativação ou não são: forma de ingresso no curso, tempo em que permaneceu ativo, cotejado com o máximo de períodos previstos para o curso, CRA, registro de duas (ou mais) reprovações em outras disciplinas; efetivação de trancamentos de período letivo.",12
12,Regulamento,O que garante a impessoalidade dos atos administrativos?,,"A exposição de motivos da decisão, fundamentado na legislação vigente e nas provas dos autos, garante a impessoalidade dos atos administrativos.",8
13,Regulamento,O que acontece em caso de deferimento do pedido de Reativação de Vínculo?,,Os autos devem ser encaminhados à Coordenação de Controle Acadêmico.,13
14,Regulamento,Cabe recurso em caso de indeferimento do Colegiado de Curso?,,"Cabe recurso ao Conselho de Ensino, Pesquisa e Extensão de cada Centro e a Câmara Superior de Ensino.",10
15,Regulamento,Até quando a Pró-Reitoria de Ensino fará a matrícula em disciplinas?,,A Pró-Reitoria de Ensino efetuará a matrícula em disciplinas até o vigésimo dia letivo.,11
16,Regulamento,O que acontece se o processo extrapolar o prazo?,,Caso o processo extrapole o prazo fica determinada a realização de matrícula institucional.,9
17,Regulamento,Onde ficam os autos em caso de deferimento?,,Os autos devem ser encaminhados à Coordenação de Controle Acadêmico.,8
18,Regulamento,Onde ficam os autos em caso de indeferimento?,,Os autos devem ser arquivados na Pasta Acadêmica do requerente.,8
19,Regulamento,O que é o Regime de Exercício Domiciliar?,,"O Regime de Exercício Domiciliar consiste em realizar os estudos em casa durante o afastamento, sob a orientação do professor da disciplina.",8
20,Regulamento,Quem pode solicitar o Regime de Exercício Domiciliar?,,"Estudantes com problemas de saúde que não tiverem condições de frequentar as aulas, mas que tenham condições de estudar em casa, grávidas e estudantes que precisem prestar assistência a familiares em tratamento médico podem solicitar o Regime de Exercício Domiciliar.",8
21,Regulamento,Onde os estudantes podem encontrar a regulamentação para o seu caso específico?,,Os estudantes podem encontrar a regulamentação para o seu caso específico no site do curso de Ciência da Computação na UFCG.,12
22,Regulamento,Quem orienta os estudantes no Regime de Exercício Domiciliar?,,O professor da disciplina orienta os estudantes no Regime de Exercício Domiciliar.,9
23,Regulamento,O que o Regime de Exercício Domiciliar oferece aos estudantes?,,O Regime de Exercício Domiciliar oferece aos estudantes a possibilidade de realizar os estudos em casa durante o afastamento.,10
24,Regulamento,Quais são as condições necessárias para solicitar o Regime de Exercício Domiciliar?,,"As condições necessárias para solicitar o Regime de Exercício Domiciliar são ter problemas de saúde que não permitam frequentar as aulas, mas que permitam estudar em casa, ser grávida ou precisar prestar assistência a familiares em tratamento médico.",12
